,USDRUB,Кукуруза,Молоко сырое,Мясо птицы бройлеров в живом весе ,Мясо крупного рогатого скота в живом весе ,Подсолнечник,Пшеница 1-го класса,Пшеница 3-го класса,Пшеница 5-го класса,Сахар (средняя цена по России),Свинина в живом весе,Соевое масло,Соевый шрот,Соя,Яйцо товарное,Подсолнечное масло наливом (мировые цены),Бутилированное подсолнечное масло (рафинированное),Подсолнечный шрот ,Колбасы сырокопченые,Баранина в живом весе,Баранина в убойном весе ,Какао-бобы (USD),Какао-бобы,"Подсолнечное масло (наливом) не бутилированное, нерафинированное ",Кокосовое масло (USD) ,Кокосовое масло ,Пальмовое масло (USD),Пальмовое масло ,Табак (USD),Табак,Пшеница 4-го класса,"Минтай б/г, Владивосток руб./кг","Сельдь н/р, Владивосток руб./кг","Огурцы тепличные, руб./кг","Томаты тепличные, руб./кг",Колбасы вареные,"Рапс, руб./т","Мука пшеничная, руб./т",Карбамид (FOB Южный),"Моноаммонийфосфат, MAP (FOB Балтика)",Апатитовый концетрат (FOB Morocco),Аммиак (FOB Черное море),Аммиачная селитра (FOB Черное море),Хлорид калия (CFR Ю-В Азия),Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,Метанол,"Бензол, CFR Япония","Этилен, CFR Китай","Пшеница 12,5% FOB Ново, руб/т","Минтай б/г, Китай C&F руб/т","Рапсовое масло EU, руб/т"
2016-01-01,77.1504,7.78479,21.90863,68.46275999999999,98.09368,23.0651,9.15253,9.8231,8.46839,37.84716,88.62219,659.842766,297.17202114232487,300.3477622928721,49.5168,761.25,61.88655083217044,12.454545454545451,451.52106,88.29955,124.42243,223273.2576,223273.2576,51.93181818181818,88877.2608,88877.2608,41054.59813274799,41054.59813274799,364861.60044000007,364861.60044000007,9.93654,76.36363636363636,61.81818181818181,131.94166,115.46288,209.25854,21.18963,15.41724,209.875,366.25,120.0,266.6666666666667,199.375,278.75,1153.0,185.4,556.0,987.5,13983.51,88722.96,60010.14952625135
2016-02-01,77.2096,8.96166,21.93128,71.09692999999999,95.9607,25.00451,10.34451,10.189,9.03158,38.85286,87.57925999999999,686.9595919999999,291.3628421986695,316.6681345324934,47.5465,765.0,62.69906572274599,12.454545454545451,435.67062,79.00924,188.18999,219815.73119999998,219815.7312,52.61363636363636,94113.097728,94113.097728,46020.13793354906,46020.13793354906,360317.25738666696,360317.25738666696,10.05779,70.9090909090909,72.72727272727272,144.94537,135.20481,207.97769,23.109060000000003,15.57141,207.125,332.5,117.5,260.5,182.125,272.5,1163.0,150.0,546.25,927.5,13878.425599999999,81070.07999999999,60138.76933255556
2016-03-01,69.8752,8.62014,21.92008,72.08125,98.69213,24.90511,6.09198,10.36078,8.94807,38.67485,87.38866,713.855956,296.17994124682394,345.3033408133357,45.4074,755.0,60.66777849630713,12.454545454545451,432.46057,84.08993,163.21939,209765.35040000002,209765.3504,50.90909090909091,100653.82809600001,100653.828096,44266.49186831979,44266.49186831979,319245.81376000005,319245.81376000005,10.59067,71.81818181818181,72.72727272727272,120.45387,135.27956,209.48337,24.02986,15.77773,199.875,345.0,117.5,267.5,180.3,267.5,1290.0,164.75,625.0,1173.75,12525.129600000002,74067.71200000001,53372.324136170675
2016-04-01,66.4805,8.72565,21.71031,67.15105,99.12532,23.89394,11.4929,10.14423,8.972940000000001,37.19853,87.97157000000001,748.46849,327.7060357038532,364.4106166469867,43.9359,778.0,57.20104829651815,12.454545454545451,438.66536,86.01010000000001,150.50769,199507.9805,199507.9805,47.99999999999999,105102.34647500001,105102.346475,45271.05580719597,45271.05580719597,306978.6947875,306978.6947875,10.18794,70.9090909090909,70.9090909090909,98.95286,142.82873999999998,206.99801,26.40237,15.40255,203.875,346.25,115.0,271.0,172.0,267.5,1355.0,179.9,642.0,1192.5,12365.373000000001,73128.55,53476.304785919456
2016-05-01,65.9479,8.86495,21.32462,69.3478,98.50837,22.98529,10.5655,9.9186,9.07765,37.41873,88.55566999999999,707.021634,407.5023286319769,358.50451644404137,36.6134,790.0,59.04274871515605,12.454545454545451,430.44287,93.48598,159.06769,198635.0748,198635.0748,49.54545454545455,94932.00205000001,94932.00205,42514.36888509223,42514.36888509223,309364.34672916686,309364.34672916686,10.03576,69.09090909090908,63.63636363636363,70.64448,102.1559,210.83934,26.08225,15.26102,200.5,341.5,107.5,279.25,154.75,251.875,1278.0,201.25,631.25,1160.0,12423.265402,72542.69,53173.032925500505
2016-06-01,64.9878,9.84331,20.86018,69.66076,97.14411,23.460330000000003,11.23317,10.34096,9.18651,38.35644,87.55748,703.714704,443.41562084911016,352.5210885735477,32.725100000000005,787.5,61.64279636499778,12.454545454545451,444.26733,95.62274,169.55339,201787.11899999998,201787.119,51.72727272727272,100597.86501,100597.86501,40263.81058518164,40263.81058518164,313641.4125349998,313641.4125349998,9.49423,66.36363636363636,63.63636363636363,50.72299,91.04297,213.40908,25.34406,15.66281,191.25,340.0,107.5,271.125,143.1,244.375,1293.0,203.0,610.0,1055.0,11697.803999999998,72786.336,51628.52370683813
2016-07-01,64.4309,9.95346,20.52193,69.73974000000001,96.49331,24.25699,9.99489,10.29247,9.19569,40.49526,91.10023,669.763556,403.29150063107306,383.53957495549497,34.3355,764.0,61.85946700248459,12.454545454545451,432.55669,91.56863,165.67852,194452.4562,194452.4562,51.90909090909091,97612.81349999999,97612.8135,37638.59345391188,37638.59345391188,314283.7286408335,314283.7286408335,9.39058,60.90909090909091,59.090909090909086,39.06771,63.71092,213.15626,23.59614,16.2445,176.25,338.75,107.5,258.5,138.625,242.5,1340.0,200.4,631.0,1115.0,10669.757039999999,74095.53499999999,49393.111886801235
2016-08-01,64.9556,11.10184,21.15338,73.35413,97.64973,25.16132,9.2131,9.41796,7.614229999999999,41.03629,94.42914,711.8717979999999,364.4791304970871,359.6259598864455,34.936,768.75,58.2302338245805,12.454545454545451,423.4488,91.71002,166.81251,194931.7556,194931.7556,48.86363636363636,102305.07,102305.07,43169.10979494529,43169.10979494529,317544.11134666647,317544.11134666647,8.2324,68.18181818181817,54.54545454545454,29.154490000000003,40.95539,219.25932,21.29539,16.01175,183.75,340.0,107.5,203.75,144.375,242.5,1400.0,197.0,657.5,1130.0,10977.4964,77946.72,52939.05699042715
2016-09-01,64.3891,8.09433,21.21362,74.35419,96.11204,23.38382,9.12748,8.37185,7.1603900000000005,35.28257,98.50501,722.674436,342.2455177279166,385.7527128038752,37.7317,778.0,56.00935979034069,12.454545454545451,425.75128,81.74501,154.58416,183959.6587,183959.6587,46.99999999999999,100278.940449,100278.940449,44509.2873935443,44509.2873935443,320403.9176308331,320403.9176308331,8.22048,68.18181818181817,57.27272727272727,34.84682,41.33773,213.18964000000005,23.29871,15.40953,189.0,342.5,107.5,178.5,156.1,245.0,1423.0,210.5,640.0,1178.75,10875.31899,77266.92,54603.66284774003
2016-10-01,62.5923,7.93624,22.25262,74.76701,96.63461,20.56398,9.28447,8.55124,7.07791,33.78314,100.09426,757.28697,337.1197716011618,380.26786042372623,43.4604,775.0,52.54262959055171,12.454545454545451,435.82378000000006,87.52772999999999,144.95792,171002.1636,171002.1636,44.090909090909086,92234.135511,92234.135511,40855.83427838431,40855.83427838431,309496.4945925002,309496.4945925002,9.8694,66.36363636363636,54.54545454545454,51.25381,72.2445,213.05362,22.27554,15.3006,191.375,335.0,105.25,171.875,175.875,246.875,1428.0,216.5,641.25,1068.75,10906.708275,75110.76,55714.77063185832
