"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"J9D4N8VY","journalArticle","2022","Mei, Shibin; Zhao, Chenglong; Yuan, Shengchao; Ni, Bingbing","Towards Bridging Sample Complexity and Model Capacity","Proceedings of the AAAI Conference on Artificial Intelligence","","2374-3468","10.1609/aaai.v36i2.20092","https://ojs.aaai.org/index.php/AAAI/article/view/20092","In this paper, we give a new definition for sample complexity, and further develop a theoretical analysis to bridge the gap between sample complexity and model capacity. In contrast to previous works which study on some toy samples, we conduct our analysis on more general data space, and build a qualitative relationship from sample complexity to model capacity required to achieve comparable performance. Besides, we introduce a simple indicator to evaluate the sample complexity based on continuous mapping. Moreover, we further analysis the relationship between sample complexity and data distribution, which paves the way to understand the present representation learning. Extensive experiments on several datasets well demonstrate the effectiveness of our evaluation method.","2022-06-28","2025-08-29 17:51:18","2025-08-29 17:52:20","2025-08-29 17:51:18","1972-1980","","2","36","","","","","","","","","","en","Copyright (c) 2022 Association for the Advancement of Artificial Intelligence","","","","ojs.aaai.org","","","","/home/danilach/Zotero/storage/7UBGHW9A/Mei et al. - 2022 - Towards Bridging Sample Complexity and Model Capacity.pdf","","","Computer Vision (CV)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4HDF786X","journalArticle","2002","Ho, Tin Kam; Basu, M.","Complexity measures of supervised classification problems","IEEE Transactions on Pattern Analysis and Machine Intelligence","","1939-3539","10.1109/34.990132","https://ieeexplore.ieee.org/abstract/document/990132","We studied a number of measures that characterize the difficulty of a classification problem, focusing on the geometrical complexity of the class boundary. We compared a set of real-world problems to random labelings of points and found that real problems contain structures in this measurement space that are significantly different from the random sets. Distributions of problems in this space show that there exist at least two independent factors affecting a problem's difficulty. We suggest using this space to describe a classifier's domain of competence. This can guide static and dynamic selection of classifiers for specific problems as well as subproblems formed by confinement, projection, and transformations of the feature vectors.","2002-03","2025-08-29 17:53:06","2025-08-29 17:53:06","2025-08-29 17:53:06","289-300","","3","24","","","","","","","","","","","","","","","IEEE Xplore","","","","/home/danilach/Zotero/storage/LQQG4X3J/990132.html; /home/danilach/Zotero/storage/VXGUDC2Z/Ho and Basu - 2002 - Complexity measures of supervised classification problems.pdf","","","Extraterrestrial measurements; Labeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MHLJUECW","conferencePaper","2019","Branchaud-Charron, Frederic; Achkar, Andrew; Jodoin, Pierre-Marc","Spectral Metric for Dataset Complexity Assessment","","","","","https://openaccess.thecvf.com/content_CVPR_2019/html/Branchaud-Charron_Spectral_Metric_for_Dataset_Complexity_Assessment_CVPR_2019_paper.html","","2019","2025-08-29 17:55:04","2025-08-29 17:55:04","2025-08-29 17:55:04","3215-3224","","","","","","","","","","","","","","","","","","openaccess.thecvf.com","","","","/home/danilach/Zotero/storage/2GL6IJ2E/Branchaud-Charron et al. - 2019 - Spectral Metric for Dataset Complexity Assessment.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition","","","","","","","","","","","","","","",""
"BSCSCRPY","journalArticle","2018","Harari, Ofir; Bingham, Derek; Dean, Angela; Higdon, Dave","Computer Experiments: Prediction Accuracy, Sample Size and Model Complexity Revisited","Statistica Sinica","","1017-0405","","https://www.jstor.org/stable/44841930","We revisit the problem of determining the sample size for a Gaussian process emulator and provide a data analytic tool for exact sample size calculations that goes beyond the n = 10d rule of thumb and is based on an IMSPE-related criterion. This allows us to tie sample size and prediction accuracy to the anticipated roughness of the simulated data, and to propose an experimental process for computer experiments, with extension to a robust scheme.","2018","2025-08-29 18:00:32","2025-08-29 18:00:32","2025-08-29 18:00:32","899-919","","2","28","","","Computer Experiments","","","","","","","","","","","","JSTOR","","Publisher: Institute of Statistical Science, Academia Sinica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B4PD3V5R","conferencePaper","2020","McRae, Andrew; Romberg, Justin; Davenport, Mark","Sample complexity and effective dimension for regression on manifolds","Advances in Neural Information Processing Systems","","","","https://proceedings.neurips.cc/paper_files/paper/2020/hash/977f8b33d303564416bf9f4ab1c39720-Abstract.html","We consider the theory of regression on a manifold using reproducing kernel Hilbert space methods. Manifold models arise in a wide variety of modern machine learning problems, and our goal is to help understand the effectiveness of various implicit and explicit dimensionality-reduction methods that exploit manifold structure. Our first key contribution is to establish a novel nonasymptotic version of the Weyl law from differential geometry. From this we are able to show that certain spaces of smooth functions on a manifold are effectively finite-dimensional, with a complexity that scales according to the manifold dimension rather than any ambient data dimension. Finally, we show that given (potentially noisy) function values taken uniformly at random over a manifold, a kernel regression estimator (derived from the spectral decomposition of the manifold) yields minimax-optimal error bounds that are controlled by the effective dimension.","2020","2025-08-29 18:16:09","2025-08-29 18:16:09","2025-08-29 18:16:09","12993–13004","","","33","","","","","","","","Curran Associates, Inc.","","","","","","","Neural Information Processing Systems","","","","/home/danilach/Zotero/storage/P4FPXCKT/McRae et al. - 2020 - Sample complexity and effective dimension for regression on manifolds.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KI2FT6KJ","journalArticle","2021","Meng, Kun; Eloyan, Ani","Principal Manifold Estimation Via Model Complexity Selection","Journal of the Royal Statistical Society Series B: Statistical Methodology","","1369-7412","10.1111/rssb.12416","https://doi.org/10.1111/rssb.12416","We propose a framework of principal manifolds to model high-dimensional data. This framework is based on Sobolev spaces and designed to model data of any intrinsic dimension. It includes principal component analysis and principal curve algorithm as special cases. We propose a novel method for model complexity selection to avoid overfitting, eliminate the effects of outliers and improve the computation speed. Additionally, we propose a method for identifying the interiors of circle-like curves and cylinder/ball-like surfaces. The proposed approach is compared to existing methods by simulations and applied to estimate tumour surfaces and interiors in a lung cancer study.","2021-04-01","2025-08-29 18:16:57","2025-08-29 18:16:57","2025-08-29 18:16:56","369-394","","2","83","","J. R. Stat. Soc. Ser. B. Stat. Methodol.","","","","","","","","","","","","","Silverchair","","","","/home/danilach/Zotero/storage/6QUT4JTT/Meng and Eloyan - 2021 - Principal Manifold Estimation Via Model Complexity Selection.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M638EWTE","journalArticle","2023","Tahmasebi, Behrooz; Jegelka, Stefanie","The Exact Sample Complexity Gain from Invariances for Kernel Regression","Advances in Neural Information Processing Systems","","","","https://proceedings.neurips.cc/paper_files/paper/2023/hash/adf5a38a2e2e7606fbfc3eff72998afa-Abstract-Conference.html","","2023-12-15","2025-08-29 18:19:38","2025-08-29 18:19:38","2025-08-29 18:19:38","55616-55646","","","36","","","","","","","","","","en","","","","","proceedings.neurips.cc","","","","/home/danilach/Zotero/storage/UKGCXY2X/Tahmasebi and Jegelka - 2023 - The Exact Sample Complexity Gain from Invariances for Kernel Regression.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XQPJ5T2D","journalArticle","2019","Holiday, Alexander; Kooshkbaghi, Mahdi; Bello-Rivas, Juan M.; William Gear, C.; Zagaris, Antonios; Kevrekidis, Ioannis G.","Manifold learning for parameter reduction","Journal of Computational Physics","","0021-9991","10.1016/j.jcp.2019.04.015","https://www.sciencedirect.com/science/article/pii/S0021999119302487","Large scale dynamical systems (e.g. many nonlinear coupled differential equations) can often be summarized in terms of only a few state variables (a few equations), a trait that reduces complexity and facilitates exploration of behavioral aspects of otherwise intractable models. High model dimensionality and complexity makes symbolic, pen–and–paper model reduction tedious and impractical, a difficulty addressed by recently developed frameworks that computerize reduction. Symbolic work has the benefit, however, of identifying both reduced state variables and parameter combinations that matter most (effective parameters, “inputs”); whereas current computational reduction schemes leave the parameter reduction aspect mostly unaddressed. As the interest in mapping out and optimizing complex input–output relations keeps growing, it becomes clear that combating the curse of dimensionality also requires efficient schemes for input space exploration and reduction. Here, we explore systematic, data-driven parameter reduction by means of effective parameter identification, starting from current nonlinear manifold-learning techniques enabling state space reduction. Our approach aspires to extend the data-driven determination of effective state variables with the data-driven discovery of effective model parameters, and thus to accelerate the exploration of high-dimensional parameter spaces associated with complex models.","2019-09-01","2025-08-29 18:48:55","2025-08-29 18:48:55","2025-08-29 18:48:55","419-431","","","392","","Journal of Computational Physics","","","","","","","","","","","","","ScienceDirect","","","","","","","Data driven perturbation theory; Data mining; Diffusion maps; Model reduction; Parameter sloppiness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LRY3MKUY","bookSection","2006","Duin, Robert P. W.; Pękalska, Elżzbieta","Object Representation, Sample Size, and Data Set Complexity","Data Complexity in Pattern Recognition","978-1-84628-172-3","","","https://doi.org/10.1007/978-1-84628-172-3_2","The complexity of a pattern recognition problem is determined by its representation. It is argued and illustrated by examples that the sampling density of a given data set and the resulting complexity of a learning problem are inherently connected. A number of criteria are constructed to judge this complexity for the chosen dissimilarity representation. Some nonlinear transformations of the original representation are also investigated to illustrate that such changes may affect the resulting complexity. If the initial sampling density is originally insufficient, this may result in a data set of a lower complexity and with a satisfactory sampling. On the other hand, if the number of samples is originally abundant, the representation may become more complex.","2006","2025-08-29 19:20:02","2025-08-29 19:20:12","2025-08-29 19:20:02","25-58","","","","","","","","","","","Springer","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84628-172-3_2","","/home/danilach/Zotero/storage/26BJ8DL2/Duin and Pękalska - 2006 - Object Representation, Sample Size, and Data Set Complexity.pdf","","book","Continuous Curf; Criterion Curve; Object Representation; Pattern Recognition Problem; Support Object","Basu, Mitra; Ho, Tin Kam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UMD4FIWJ","preprint","2020","Lorena, Ana C.; Garcia, Luís P. F.; Lehmann, Jens; Souto, Marcilio C. P.; Ho, Tin K.","How Complex is your classification problem? A survey on measuring classification complexity","","","","10.48550/arXiv.1808.03591","http://arxiv.org/abs/1808.03591","Characteristics extracted from the training datasets of classification problems have proven to be effective predictors in a number of meta-analyses. Among them, measures of classification complexity can be used to estimate the difficulty in separating the data points into their expected classes. Descriptors of the spatial distribution of the data and estimates of the shape and size of the decision boundary are among the known measures for this characterization. This information can support the formulation of new data-driven pre-processing and pattern recognition techniques, which can in turn be focused on challenges highlighted by such characteristics of the problems. This paper surveys and analyzes measures which can be extracted from the training datasets in order to characterize the complexity of the respective classification problems. Their use in recent literature is also reviewed and discussed, allowing to prospect opportunities for future work in the area. Finally, descriptions are given on an R package named Extended Complexity Library (ECoL) that implements a set of complexity measures and is made publicly available.","2020-12-30","2025-08-29 19:44:12","2025-08-29 19:44:12","2025-08-29 19:44:12","","","","","","","How Complex is your classification problem?","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1808.03591 [cs]","","/home/danilach/Zotero/storage/SH96QQSS/Lorena et al. - 2020 - How Complex is your classification problem A survey on measuring classification complexity.pdf; /home/danilach/Zotero/storage/J6A6ATEC/1808.html","","","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:1808.03591","","","","","","","","","","","","","","","","","","","","","","","","","","",""
