Колбасы сырокопченые_preds,Колбасы вареные_preds,Колбасы сырокопченые_true,Колбасы вареные_true
597.4150889396202,291.2096122848701,609.8145190020227,297.25370673088526
609.969860696357,297.329427942847,630.4872311961913,303.73383753761857
619.4464576152892,301.94878919708066,618.949314865301,303.5819706188498
595.5724328185797,290.3114107085842,618.8255250023278,305.5248952308104
612.6036975739764,298.6132900851885,615.917045034817,304.0889282232256
621.7537026991777,303.07345437337864,576.5599458570922,304.788332758139
617.5377526576739,301.0183921566244,608.4148828656964,321.6278881430262
618.6368653560809,301.55415395555815,582.2300272801019,299.9871261346213
639.270209090391,311.6118644825451,586.9460905010707,301.57705790313474
635.1086463067835,309.5833133007119,603.4392756441508,306.10071377168174
643.5790680105974,313.712215074243,592.3963368998628,298.54002614152125
645.8314168397094,314.81012110540826,599.1496551405213,298.9878361807335
