Колбасы сырокопченые_preds,Колбасы вареные_preds,Колбасы сырокопченые_true,Колбасы вареные_true
534.4949748761138,260.5392419501071,609.8145190020227,297.25370673088526
556.1170419531381,271.07890505348433,630.4872311961913,303.73383753761857
540.5291458271757,263.48059481455914,618.949314865301,303.5819706188498
547.5031420229789,266.88006490805924,618.8255250023278,305.5248952308104
566.0815642238957,275.93610521597395,615.917045034817,304.0889282232256
577.8186832401208,281.6573565558471,576.5599458570922,304.788332758139
586.113262619478,285.7005440980567,608.4148828656964,321.6278881430262
629.549374099759,306.873449532679,582.2300272801019,299.9871261346213
593.1073471681142,289.1098062466092,586.9460905010707,301.57705790313474
597.3468158125295,291.17633259167576,603.4392756441508,306.10071377168174
611.476265427074,298.0637239887585,592.3963368998628,298.54002614152125
598.969200194951,291.9671628464331,599.1496551405213,298.9878361807335
