Какао-бобы (USD)_preds,Какао-бобы_preds,Табак (USD)_preds,Табак_preds,Какао-бобы (USD)_true,Какао-бобы_true,Табак (USD)_true,Табак_true
7897.1613400328415,695313.4673445318,4882.615306704734,429894.74729412503,9307.526315789471,819490.462,5754.60833333333,506670.2453166664
7916.144756873858,696984.8812637159,4894.352273654065,430928.14028614585,8024.318181818182,701325.4090909092,6015.53333333333,525757.613333333
7737.767142913856,681279.4458649937,4784.065902286738,421217.8664327381,8955.81818181818,796799.1436363634,5998.6,533695.442
8192.53118500356,721319.6007148237,5065.2350182816335,445973.6824196247,8697.0,794036.1,6078.925,555005.8525
8121.680689381656,715081.4979772975,5021.429947128093,442116.82112484006,7273.565217391305,699062.3530434783,5013.40538771851,481838.391813626
8416.038187962828,740998.4982973754,5203.423750512863,458140.64753765555,8128.299999999999,815349.7729999999,5023.22781725618,503879.98234896746
8329.590822216205,733387.1535328482,5149.975528671544,453434.74539741484,10714.562499999998,1099314.1124999998,5023.22781725618,515383.174050484
8422.7864590108,741592.6565700652,5207.596035982782,458508.00058414007,4456.857142857143,396571.1485714286,5533.84166666667,492401.2315000003
7943.198355306306,699366.8423912993,4911.078829959571,432400.8466626204,5889.526315789474,539539.5057894738,5534.95833333333,507057.5329166664
7862.361665104924,692249.4951658284,4861.099547034223,428000.37071817525,8090.45,741813.3605,5608.24166666667,514219.678416667
7720.962866431927,679799.8965378657,4773.676242757707,420303.0984698451,10459.954545454546,971625.1777272729,5674.49166666667,527103.530916667
7476.286821373589,658257.1494746592,4622.399226707677,406983.76231470413,8610.772727272728,782460.9177272728,5629.86666666667,511585.9840000004
