Колбасы сырокопченые_preds,Колбасы вареные_preds,Колбасы сырокопченые_true,Колбасы вареные_true
654.0459661906224,318.8142980601957,609.8145190020227,297.25370673088526
630.2698656004683,307.22465266507476,630.4872311961913,303.73383753761857
632.3818677440559,308.254146791965,618.949314865301,303.5819706188498
637.6417149144316,310.8180560127406,618.8255250023278,305.5248952308104
628.5294310532245,306.3762789311444,615.917045034817,304.0889282232256
635.9328334698082,309.98506281899176,576.5599458570922,304.788332758139
631.6010558840009,307.87354053804927,608.4148828656964,321.6278881430262
610.9837970230881,297.8236705725619,582.2300272801019,299.9871261346213
613.5667146145763,299.08271214065513,586.9460905010707,301.57705790313474
626.491450521016,305.3828665925274,603.4392756441508,306.10071377168174
615.5859242737616,300.0669746289309,592.3963368998628,298.54002614152125
609.4326709363614,297.0675751295721,599.1496551405213,298.9878361807335
