Какао-бобы (USD)_preds,Какао-бобы_preds,Табак (USD)_preds,Табак_preds,Какао-бобы (USD)_true,Какао-бобы_true,Табак (USD)_true,Табак_true
7901.076334182823,695658.1669194611,4885.035848661432,430107.86633124447,9307.526315789471,819490.462,5754.60833333333,506670.2453166664
7456.753539608512,656537.3221483713,4610.32229217009,405920.43653640774,8024.318181818182,701325.4090909092,6015.53333333333,525757.613333333
7604.154137489133,669515.3551893685,4701.456357239901,413944.42642954434,8955.81818181818,796799.1436363634,5998.6,533695.442
8098.602342779404,713049.5418723556,5007.161188580339,440860.5140097445,8697.0,794036.1,6078.925,555005.8525
8138.840243247079,716592.3280569325,5032.039265685993,443050.92918658897,7273.565217391305,699062.3530434783,5013.40538771851,481838.391813626
8009.690663781939,705221.2241833449,4952.189344125653,436020.4629928873,8128.299999999999,815349.7729999999,5023.22781725618,503879.98234896746
7892.641225088454,694915.4893041382,4879.820633851382,429648.6875280788,10714.562499999998,1099314.1124999998,5023.22781725618,515383.174050484
7667.672946796717,675107.9322736639,4740.728432006399,417402.1755244354,4456.857142857143,396571.1485714286,5533.84166666667,492401.2315000003
7321.047818766855,644588.9762511468,4526.418874060853,398533.0761855619,5889.526315789474,539539.5057894738,5534.95833333333,507057.5329166664
6966.121115480199,613339.0997335698,4306.976661902824,379212.067173896,8090.45,741813.3605,5608.24166666667,514219.678416667
6970.6890400896855,613741.2872237366,4309.800894264025,379460.7295363704,10459.954545454546,971625.1777272729,5674.49166666667,527103.530916667
6818.785548744801,600366.792424785,4215.882803946862,371191.61735630536,8610.772727272728,782460.9177272728,5629.86666666667,511585.9840000004
