Какао-бобы (USD)_preds,Какао-бобы_preds,Табак (USD)_preds,Табак_preds,Какао-бобы (USD)_true,Какао-бобы_true,Табак (USD)_true,Табак_true
4367.485366156634,384539.61654862715,2700.305841860467,237751.12815244665,9307.526315789471,819490.462,5754.60833333333,506670.2453166664
4801.438839519816,422747.4840643619,2968.608309064707,261374.0871799112,8024.318181818182,701325.4090909092,6015.53333333333,525757.613333333
5382.660191434279,473921.69921502273,3327.9627843310536,293013.81130921195,8955.81818181818,796799.1436363634,5998.6,533695.442
5821.314075181226,512543.4190634064,3599.171396503008,316892.64477650385,8697.0,794036.1,6078.925,555005.8525
6125.359335834681,539313.3880829006,3787.154898381345,333443.8401828839,7273.565217391305,699062.3530434783,5013.40538771851,481838.391813626
6189.428982250908,544954.4641712636,3826.7675418132603,336931.5749864903,8128.299999999999,815349.7729999999,5023.22781725618,503879.98234896746
6066.3579387848895,534118.5510782546,3750.67582546537,330232.00372892397,10714.562499999998,1099314.1124999998,5023.22781725618,515383.174050484
6214.536490432043,547165.0798365799,3842.290879691262,338298.34279329685,4456.857142857143,396571.1485714286,5533.84166666667,492401.2315000003
6238.428284850978,549268.6567679894,3857.0625724694232,339598.93125564285,5889.526315789474,539539.5057894738,5534.95833333333,507057.5329166664
7342.227453319764,646453.7583549923,4539.5137069262055,399686.02384002466,8090.45,741813.3605,5608.24166666667,514219.678416667
8811.40786349561,775809.2167493347,5447.870830475297,479663.235140028,10459.954545454546,971625.1777272729,5674.49166666667,527103.530916667
10512.517560450471,925585.1211274225,6499.623971522447,572265.8921966654,8610.772727272728,782460.9177272728,5629.86666666667,511585.9840000004
