,USDRUB,Кукуруза,Молоко сырое,Мясо птицы бройлеров в убойном весе ,Мясо птицы бройлеров в живом весе ,Мясо крупного рогатого скота в убойном весе ,Мясо крупного рогатого скота в живом весе ,Подсолнечник,Пшеница 1-го класса,Пшеница 3-го класса,Пшеница 5-го класса,Сахар (средняя цена по России),Свинина в живом весе,"Свинина в убойном весе, полутуши ",Соевое масло,Соевый шрот,Соя,Яйцо товарное,Подсолнечное масло наливом (мировые цены),Бутилированное подсолнечное масло (рафинированное),Подсолнечный шрот ,Свекла,Колбасы сырокопченые,Мясо индейки (в убойном весе),Мясо индейки (в живом весе),Баранина в живом весе,Баранина в убойном весе ,Какао-бобы (USD),Какао-бобы,"Подсолнечное масло (наливом) не бутилированное, нерафинированное ",Кокосовое масло (USD) ,Кокосовое масло ,Пальмовое масло (USD),Пальмовое масло ,Табак (USD),Табак,Пшеница 4-го класса,"Минтай б/г, Владивосток руб./кг","Минтай б/г, Китай C&F $/т","Сельдь н/р, Владивосток руб./кг","Огурцы тепличные, руб./кг","Томаты тепличные, руб./кг",Колбасы вареные,"Рапс, руб./т","Рапсовое масло EU, $/т","Мука пшеничная, руб./т","Пшеница 12,5% FOB Ново, $/т","Экспортная цена мороженых крабов, $/т","Экспортная цена живых крабов, $/т","Треска, Мурманск","Горбуша, Владивосток","Треска, CFR EU $/т","Кета ПБГ, Владивосток","Нерка ПБГ, Владивосток",Икра красная соленая
2014-01-01,33.7787,5.1083,19.22489,,53.7815,,71.50233999999999,9.35469,6.28054,6.643890000000001,6.301819999999999,20.62782,70.41788000000001,,831.362202,473.7512194315382,484.36559133418393,37.052600000000005,803.75,28.85340944464096,8.818181818181817,1.61709,391.47752,,,72.44172999999999,160.43193,2759.0,93195.4333,23.540718181818182,1269.09,42868.210383,769.4413371060078,25990.728093702706,4924.33333333333,166337.57836666657,6.76768,50.6060606060606,1370.0,27.27272727272727,109.69275999999999,88.39199,180.11884,10.92124,959.9021090909091,11.66556,281.67,,,,,,,,
2014-02-01,35.3147,5.52927,20.10432,,53.73414,,70.26937,8.94873,6.7038,6.83535,6.17293,21.047150000000002,70.98528,,874.1318299999999,499.3579038454119,457.602641392961,32.9555,831.25,30.4741162009197,8.818181818181817,1.70298,384.57495,,,62.0129,152.98945999999998,2918.0,103048.29460000001,24.86300909090909,1364.0,48169.2508,811.4583726994445,28656.408994369074,5051.89166666667,178406.03864083346,6.81317,46.96969696969696,1400.0,26.59090909090909,133.35479999999998,95.80819,185.95226,11.77707,1025.7670084999997,11.59769,278.5,,,,,,,,
2014-03-01,36.1269,5.558140000000001,20.399630000000002,,54.3659,,70.87358,10.3745,7.57283,7.18896,6.00571,22.35493,74.60727,,928.5859439999999,506.6882719621687,489.54380254048925,34.5164,858.75,34.531966926070034,8.818181818181817,1.59928,382.99374,,,70.60275999999999,156.30361,2969.0,107260.7661,28.173699999999997,1389.05,50182.070445,860.8618050164337,31100.268343648197,5083.59166666667,183654.40778250011,7.44625,53.93939393939394,1390.0,27.27272727272727,103.82039999999999,85.61886,189.09688,13.147950000000002,1008.7124975238097,11.78734,290.75,,,,,,,,
2014-04-01,35.6723,6.12138,20.49657,,55.41361,,71.26701,10.97702,8.143270000000001,7.5499,6.583600000000001,24.33316,83.08950999999999,,932.995184,533.4082904809934,522.2208828699019,34.7133,843.75,33.19459303148213,8.818181818181817,1.36349,388.49671,,,84.05464,139.92622,2966.0,105804.0418,27.082572727272726,1356.13,48376.27619900001,825.4439026569929,29445.482528751047,5089.1,181539.90193000002,7.77,47.99999999999999,1425.0,28.18181818181818,86.4305,109.40308999999999,191.13037,12.713989999999999,1016.6690624999999,12.265360000000001,291.0,,,,,,,,
2014-05-01,34.8429,6.69644,20.064169999999997,,58.83824,,73.39434,11.599549999999999,10.16825,8.12811,7.10044,25.66925,95.81383,,893.532486,542.7779339385021,534.5413269274372,29.538899999999998,848.25,32.5101727980191,8.818181818181817,,395.61242,,,73.70864,161.19826999999998,2944.0,102577.4976,26.524172727272727,1413.25,49241.728425,798.8594156616417,27834.578733957016,5117.55833333333,178310.5732524999,8.510549999999999,47.72727272727273,1440.0,23.863636363636363,61.65754,82.03765,196.68823,11.03515,957.679642857143,12.8478,269.75,,,,,,,,
2014-06-01,34.3732,7.18618,19.30653,,62.316129999999994,,74.63400999999999,12.40491,9.99718,8.51132,7.07854,26.7799,100.49148,,871.486286,519.2766635250803,602.5697345606461,28.2164,843.75,32.01594481782808,8.818181818181817,,402.30715000000004,,,79.90091000000001,171.89699,3101.0,106591.29319999999,26.120945454545453,1393.25,47890.4609,758.3717369273671,26067.663387751774,4996.075,171731.08518999998,8.747020000000001,45.45454545454545,1460.0,20.909090909090907,45.63237,66.97355,211.10987,13.82841,940.4840228571427,13.05184,252.5,,,81.81818181818181,,,,,
2014-07-01,34.7491,7.74568,18.70447,,67.47967999999999,,73.96583,13.37927,8.157020000000001,7.89837,6.894609999999999,26.16722,100.78985,,813.945704,451.0215667146172,542.8002451862063,32.7913,808.75,32.294831800495224,8.818181818181817,,412.71915,,,83.85277,159.79753,3142.0,109181.6722,26.34848181818182,1255.22,43617.765302,754.1395704683315,26205.671348161097,4991.25833333333,173441.7349508332,7.15142,46.36363636363636,1470.0,20.909090909090907,35.90284,55.27208,207.26769000000002,11.777209999999998,902.3182454347827,13.12362,246.25,,,93.63636363636363,,,,,
2014-08-01,36.1713,6.93058,18.41507,,69.6655,,73.68464,9.94153,9.69507,6.7150799999999995,6.00774,26.23642,104.21997999999999,,745.8229459999999,447.82486482911423,510.0792617351325,33.0576,752.0,32.201317916519265,8.818181818181817,1.38459,421.94058,,,72.37691000000001,173.32926,3217.0,116363.0721,26.272186363636358,1187.62,42957.759306,679.2500340988972,24569.35675840144,4919.96666666667,177961.59029000014,6.47285,50.90909090909091,1480.0,21.818181818181817,29.548189999999998,38.508669999999995,209.88141000000002,12.090879999999999,853.5084403809522,12.798530000000001,244.4,,,95.45454545454545,,,,,
2014-09-01,38.0132,5.9516800000000005,18.590919999999997,,72.75966,,78.60911999999999,11.32554,7.2578000000000005,6.644939999999999,5.71102,23.684009999999997,107.90603999999999,,711.651336,409.1006795747284,498.05620152999484,32.2704,738.75,32.10780403254333,8.818181818181817,1.90296,412.54639000000003,,,69.1077,172.33769,3185.0,121072.04199999999,26.195890909090906,1193.41,45365.333012,656.9484387476066,24972.712391800516,4923.76666666667,187168.12705333345,6.49187,52.72727272727272,1500.0,24.545454545454543,36.66769,40.59824,211.86519,10.147219999999999,826.4355518181817,12.319780000000002,241.5,,,111.81818181818181,,,,,
2014-10-01,40.9591,5.6892,19.774919999999998,,73.23706,,75.11912,10.92061,5.988659999999999,6.85127,6.06119,22.71661,106.8025,,721.3516639999999,378.82019654205044,377.9016140491368,33.6728,783.0,35.170546692607,8.818181818181817,1.8195299999999999,432.12319,,,69.97218,152.83007,3061.0,125375.8051,28.694699999999997,1148.7,47049.71817,673.0558197380936,27567.76062623455,4943.225,202470.0470975,6.64222,49.090909090909086,1600.0,25.454545454545453,57.684110000000004,60.499480000000005,214.60525,10.12298,835.2982543043478,12.13185,239.4,,,129.0909090909091,,,,,
