Date,Карбамид (FOB Южный),"Моноаммонийфосфат, MAP (FOB Балтика)",Апатитовый концетрат (FOB Morocco),Аммиак (FOB Черное море),Аммиачная селитра (FOB Черное море),Хлорид калия (CFR Ю-В Азия),Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,Метанол,"Бензол, CFR Япония","Этилен, CFR Китай"
2016-01-01,209.875,366.25,120.0,266.6666666666667,199.375,278.75,1153.0,185.4,556.0,987.5
2016-02-01,207.125,332.5,117.5,260.5,182.125,272.5,1163.0,150.0,546.25,927.5
2016-03-01,199.875,345.0,117.5,267.5,180.3,267.5,1290.0,164.75,625.0,1173.75
2016-04-01,203.875,346.25,115.0,271.0,172.0,267.5,1355.0,179.9,642.0,1192.5
2016-05-01,200.5,341.5,107.5,279.25,154.75,251.875,1278.0,201.25,631.25,1160.0
2016-06-01,191.25,340.0,107.5,271.125,143.1,244.375,1293.0,203.0,610.0,1055.0
2016-07-01,176.25,338.75,107.5,258.5,138.625,242.5,1340.0,200.4,631.0,1115.0
2016-08-01,183.75,340.0,107.5,203.75,144.375,242.5,1400.0,197.0,657.5,1130.0
2016-09-01,189.0,342.5,107.5,178.5,156.1,245.0,1423.0,210.5,640.0,1178.75
2016-10-01,191.375,335.0,105.25,171.875,175.875,246.875,1428.0,216.5,641.25,1068.75
2016-11-01,212.0,319.375,85.0,170.0,182.75,245.625,1460.0,253.125,696.25,998.75
2016-12-01,215.66666666666666,310.0,85.0,214.2,186.5,245.0,1805.0,307.3,834.0,1123.0
2017-01-01,241.75,319.375,85.0,268.3333333333333,199.625,245.0,2015.0,331.5,937.5,1145.0
2017-02-01,249.375,358.0,85.0,301.875,207.875,246.0,2178.0,392.375,1015.0,1322.5
2017-03-01,232.5,375.0,85.0,318.0,203.5,247.2,2240.0,370.6,820.0,1207.5
2017-04-01,199.0,355.0,85.0,309.375,177.375,248.25,1830.0,304.625,813.75,1187.5
2017-05-01,180.125,343.75,83.75,297.5,164.25,249.0,1550.0,274.375,748.75,1132.5
2017-06-01,187.5,342.5,82.5,244.5,161.2,250.0,1560.0,264.2,747.0,956.25
2017-07-01,187.5,338.75,82.5,201.25,162.75,249.875,1638.0,258.75,726.25,962.5
2017-08-01,200.125,323.75,80.5,187.5,173.3,250.125,1715.0,258.5,766.25,1208.75
2017-09-01,236.5,331.375,77.5,207.0,216.5,255.0,1740.0,265.7,791.0,1322.5
2017-10-01,262.75,341.25,77.5,228.5,238.375,257.5,2003.0,252.625,790.0,1278.75
2017-11-01,261.625,366.25,77.5,280.625,223.1,258.75,2065.0,280.625,845.0,1283.75
2017-12-01,217.83333333333334,377.1666666666667,77.5,311.0,200.83333333333334,260.0,2035.0,319.1,884.0,1345.0
2018-01-01,226.625,387.25,77.5,317.0,192.5,258.125,2020.0,357.25,925.0,1378.75
2018-02-01,234.5,406.5,80.5,293.75,191.875,260.0,2058.0,333.125,906.25,1285.0
2018-03-01,232.875,400.75,81.5,254.0,185.7,272.5,2145.0,315.3,850.0,1328.0
2018-04-01,227.125,397.875,81.5,223.125,165.375,282.5,2205.0,318.0,842.5,1336.25
2018-05-01,218.25,396.875,81.5,221.0,156.8,287.875,2038.0,328.625,860.0,1267.5
2018-06-01,242.5,409.125,81.5,240.4,178.125,288.5,2118.0,376.2,837.0,1376.25
2018-07-01,257.25,421.25,81.5,259.5,207.5,290.0,2125.0,344.0,843.75,1390.0
2018-08-01,258.0,430.0,81.5,302.2,217.5,291.0,2140.0,355.3,887.0,1383.75
2018-09-01,273.25,433.625,81.5,331.875,217.5,295.625,2155.0,368.125,862.5,1293.75
2018-10-01,301.5,432.5,81.5,340.625,196.875,303.75,2220.0,365.625,826.25,1110.0
2018-11-01,298.0,421.25,88.6,327.5,189.5,310.0,2115.0,334.3,696.0,977.5
2018-12-01,279.1666666666667,410.1666666666667,90.0,302.5,182.5,310.0,1830.0,289.3333333333333,606.6666666666666,880.0
2019-01-01,270.875,407.75,90.0,263.3333333333333,185.5,309.125,1575.0,275.75,577.5,927.5
