start_window,stride,dist_method,linkage_method,threshold,diff_order,distance_scaling,mape,duration_s,error
60,24,Engle-Granger,ward,0.5,0,none,16.93983203338514,7.805632829666138,
60,24,Engle-Granger,ward,0.5,0,log1p,16.93983203338514,8.044184684753418,
60,24,Engle-Granger,average,0.5,0,none,16.93983203338514,7.663739919662476,
60,24,Engle-Granger,average,0.5,0,log1p,16.93983203338514,8.134354829788208,
60,24,Engle-Granger,ward,0.5,0,minmax,17.434295716954168,8.039320945739746,
60,24,Engle-Granger,ward,0.5,1,none,17.45525727900712,8.167336702346802,
60,24,Engle-Granger,ward,0.5,1,log1p,17.66967261927548,7.778559446334839,
60,24,Engle-Granger,average,0.5,1,none,19.877797935862205,8.456158876419067,
60,24,Engle-Granger,average,0.5,1,log1p,19.877797935862205,8.741881370544434,
60,24,Engle-Granger,ward,0.5,1,minmax,22.034914242378296,8.830153465270996,
60,24,Engle-Granger,average,0.5,0,minmax,25.882121727798065,8.861032485961914,
60,24,Engle-Granger,average,0.5,1,minmax,25.882121727798065,9.041215658187866,
