Conditioning Variable,Карбамид (FOB Южный),"Моноаммонийфосфат, MAP (FOB Балтика)",Апатитовый концетрат (FOB Morocco),Аммиак (FOB Черное море),Аммиачная селитра (FOB Черное море),Хлорид калия (CFR Ю-В Азия),Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,Метанол,"Бензол, CFR Япония","Этилен, CFR Китай"
Карбамид (FOB Южный),157.37017218954193,49.26166804799437,111.32681446338616,109.33149995523861,156.59258203625907,98.41389411859103,10.607177574093201,22.520515046223924,22.30088005003432,12.159579523418614
"Моноаммонийфосфат, MAP (FOB Балтика)",157.37017218954193,49.26166804799437,111.32681446338616,109.33149995523861,156.59258203625907,98.41389411859103,10.607177574093201,22.520515046223924,22.30088005003432,12.159579523418614
Апатитовый концетрат (FOB Morocco),157.37017218954193,49.26166804799437,111.32681446338616,109.33149995523861,156.59258203625907,98.41389411859103,10.607177574093201,22.520515046223924,22.30088005003432,12.159579523418614
Аммиак (FOB Черное море),157.37017218954193,49.26166804799437,111.32681446338616,109.33149995523861,156.59258203625907,98.41389411859103,10.607177574093201,22.520515046223924,22.30088005003432,12.159579523418614
Аммиачная селитра (FOB Черное море),157.37017218954193,49.26166804799437,111.32681446338616,109.33149995523861,156.59258203625907,98.41389411859103,10.607177574093201,22.520515046223924,22.30088005003432,12.159579523418614
Хлорид калия (CFR Ю-В Азия),157.37017218954193,49.26166804799437,111.32681446338616,109.33149995523861,156.59258203625907,98.41389411859103,10.607177574093201,22.520515046223924,22.30088005003432,12.159579523418614
Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,157.37017218954193,49.26166804799437,111.32681446338616,109.33149995523861,156.59258203625907,98.41389411859103,10.607177574093201,22.520515046223924,22.30088005003432,12.159579523418614
Метанол,157.37017218954193,49.26166804799437,111.32681446338616,109.33149995523861,156.59258203625907,98.41389411859103,10.607177574093201,22.520515046223924,22.30088005003432,12.159579523418614
"Бензол, CFR Япония",157.37017218954193,49.26166804799437,111.32681446338616,109.33149995523861,156.59258203625907,98.41389411859103,10.607177574093201,22.520515046223924,22.30088005003432,12.159579523418614
"Этилен, CFR Китай",157.37017218954193,49.26166804799437,111.32681446338616,109.33149995523861,156.59258203625907,98.41389411859103,10.607177574093201,22.520515046223924,22.30088005003432,12.159579523418614
