Conditioning Variable,Карбамид (FOB Южный),"Моноаммонийфосфат, MAP (FOB Балтика)",Апатитовый концетрат (FOB Morocco),Аммиак (FOB Черное море),Аммиачная селитра (FOB Черное море),Хлорид калия (CFR Ю-В Азия),Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,Метанол,"Бензол, CFR Япония","Этилен, CFR Китай"
Карбамид (FOB Южный),50.656262582103935,34.970443665497996,19.364747014248152,73.76493065499028,66.94322195885346,44.63128326878873,22.59144216758514,26.730126651560386,31.14825547827077,18.050958897716747
"Моноаммонийфосфат, MAP (FOB Балтика)",50.656262582103935,34.970443665497996,19.364747014248152,73.76493065499028,66.94322195885346,44.63128326878873,22.59144216758514,26.730126651560386,31.14825547827077,18.050958897716747
Апатитовый концетрат (FOB Morocco),50.656262582103935,34.970443665497996,19.364747014248152,73.76493065499028,66.94322195885346,44.63128326878873,22.59144216758514,26.730126651560386,31.14825547827077,18.050958897716747
Аммиак (FOB Черное море),50.656262582103935,34.970443665497996,19.364747014248152,73.76493065499028,66.94322195885346,44.63128326878873,22.59144216758514,26.730126651560386,31.14825547827077,18.050958897716747
Аммиачная селитра (FOB Черное море),50.656262582103935,34.970443665497996,19.364747014248152,73.76493065499028,66.94322195885346,44.63128326878873,22.59144216758514,26.730126651560386,31.14825547827077,18.050958897716747
Хлорид калия (CFR Ю-В Азия),50.656262582103935,34.970443665497996,19.364747014248152,73.76493065499028,66.94322195885346,44.63128326878873,22.59144216758514,26.730126651560386,31.14825547827077,18.050958897716747
Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,50.656262582103935,34.970443665497996,19.364747014248152,73.76493065499028,66.94322195885346,44.63128326878873,22.59144216758514,26.730126651560386,31.14825547827077,18.050958897716747
Метанол,50.656262582103935,34.970443665497996,19.364747014248152,73.76493065499028,66.94322195885346,44.63128326878873,22.59144216758514,26.730126651560386,31.14825547827077,18.050958897716747
"Бензол, CFR Япония",50.656262582103935,34.970443665497996,19.364747014248152,73.76493065499028,66.94322195885346,44.63128326878873,22.59144216758514,26.730126651560386,31.14825547827077,18.050958897716747
"Этилен, CFR Китай",50.656262582103935,34.970443665497996,19.364747014248152,73.76493065499028,66.94322195885346,44.63128326878873,22.59144216758514,26.730126651560386,31.14825547827077,18.050958897716747
