Conditioning Variable,Карбамид (FOB Южный),"Моноаммонийфосфат, MAP (FOB Балтика)",Апатитовый концетрат (FOB Morocco),Аммиак (FOB Черное море),Аммиачная селитра (FOB Черное море),Хлорид калия (CFR Ю-В Азия),Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,Метанол,"Бензол, CFR Япония","Этилен, CFR Китай"
Карбамид (FOB Южный),51.82130551091977,58.968023993909455,36.715287056942536,71.65787914510965,48.85381360209519,51.32514273474835,91.7842156477444,101.99590402816645,72.34883597284961,76.88787156646174
"Моноаммонийфосфат, MAP (FOB Балтика)",51.82130551091977,58.968023993909455,36.715287056942536,71.65787914510965,48.85381360209519,51.32514273474835,91.7842156477444,101.99590402816645,72.34883597284961,76.88787156646174
Апатитовый концетрат (FOB Morocco),51.82130551091977,58.968023993909455,36.715287056942536,71.65787914510965,48.85381360209519,51.32514273474835,91.7842156477444,101.99590402816645,72.34883597284961,76.88787156646174
Аммиак (FOB Черное море),51.82130551091977,58.968023993909455,36.715287056942536,71.65787914510965,48.85381360209519,51.32514273474835,91.7842156477444,101.99590402816645,72.34883597284961,76.88787156646174
Аммиачная селитра (FOB Черное море),51.82130551091977,58.968023993909455,36.715287056942536,71.65787914510965,48.85381360209519,51.32514273474835,91.7842156477444,101.99590402816645,72.34883597284961,76.88787156646174
Хлорид калия (CFR Ю-В Азия),51.82130551091977,58.968023993909455,36.715287056942536,71.65787914510965,48.85381360209519,51.32514273474835,91.7842156477444,101.99590402816645,72.34883597284961,76.88787156646174
Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,51.82130551091977,58.968023993909455,36.715287056942536,71.65787914510965,48.85381360209519,51.32514273474835,91.7842156477444,101.99590402816645,72.34883597284961,76.88787156646174
Метанол,51.82130551091977,58.968023993909455,36.715287056942536,71.65787914510965,48.85381360209519,51.32514273474835,91.7842156477444,101.99590402816645,72.34883597284961,76.88787156646174
"Бензол, CFR Япония",51.82130551091977,58.968023993909455,36.715287056942536,71.65787914510965,48.85381360209519,51.32514273474835,91.7842156477444,101.99590402816645,72.34883597284961,76.88787156646174
"Этилен, CFR Китай",51.82130551091977,58.968023993909455,36.715287056942536,71.65787914510965,48.85381360209519,51.32514273474835,91.7842156477444,101.99590402816645,72.34883597284961,76.88787156646174
