Conditioning Variable,Карбамид (FOB Южный),"Моноаммонийфосфат, MAP (FOB Балтика)",Апатитовый концетрат (FOB Morocco),Аммиак (FOB Черное море),Аммиачная селитра (FOB Черное море),Хлорид калия (CFR Ю-В Азия),Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,Метанол,"Бензол, CFR Япония","Этилен, CFR Китай"
Карбамид (FOB Южный),629.8209231296037,404.8909070999977,336.9406300717787,879.4619208349206,911.2610644159034,678.7186195430952,130.88816744669273,82.89854366855135,100.31686728980127,142.31601779922522
"Моноаммонийфосфат, MAP (FOB Балтика)",624.1474328392294,428.6563360868728,336.9406300717787,879.4619208349206,911.2610644159034,678.7186195430952,130.88816744669273,82.89854366855135,100.31686728980127,142.31601779922522
Апатитовый концетрат (FOB Morocco),624.1474328392294,404.8909070999977,300.28178693397496,879.4619208349206,911.2610644159034,678.7186195430952,130.88816744669273,82.89854366855135,100.31686728980127,142.31601779922522
Аммиак (FOB Черное море),624.1474328392294,404.8909070999977,336.9406300717787,883.1891398142914,911.2610644159034,678.7186195430952,130.88816744669273,82.89854366855135,100.31686728980127,142.31601779922522
Аммиачная селитра (FOB Черное море),624.1474328392294,404.8909070999977,336.9406300717787,879.4619208349206,896.6200340463865,678.7186195430952,130.88816744669273,82.89854366855135,100.31686728980127,142.31601779922522
Хлорид калия (CFR Ю-В Азия),624.1474328392294,404.8909070999977,336.9406300717787,879.4619208349206,911.2610644159034,637.499577976025,130.88816744669273,82.89854366855135,100.31686728980127,142.31601779922522
Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,624.1474328392294,404.8909070999977,336.9406300717787,879.4619208349206,911.2610644159034,678.7186195430952,92.10532280481456,82.89854366855135,100.31686728980127,142.31601779922522
Метанол,624.1474328392294,404.8909070999977,336.9406300717787,879.4619208349206,911.2610644159034,678.7186195430952,130.88816744669273,50.91022242388173,100.31686728980127,142.31601779922522
"Бензол, CFR Япония",624.1474328392294,404.8909070999977,336.9406300717787,879.4619208349206,911.2610644159034,678.7186195430952,130.88816744669273,82.89854366855135,86.64553209269297,142.31601779922522
"Этилен, CFR Китай",624.1474328392294,404.8909070999977,336.9406300717787,879.4619208349206,911.2610644159034,678.7186195430952,130.88816744669273,82.89854366855135,100.31686728980127,125.39652042643831
