model,lags,horizon_months,fold_index,cutoff,mape
rf,6,12,1,2022-05-01,16.156500125339143
rf,6,12,2,2023-05-01,8.959029965161179
rf,6,12,3,2024-05-01,11.417719777290463
rf,12,12,1,2022-05-01,15.452409596781983
rf,12,12,2,2023-05-01,8.410382561422946
rf,12,12,3,2024-05-01,13.926046151588437
rf,24,12,1,2022-05-01,15.606287080869075
rf,24,12,2,2023-05-01,8.258317946227196
rf,24,12,3,2024-05-01,14.248064627048935
rf,6,24,1,2019-05-01,8.170331689043921
rf,6,24,2,2021-05-01,27.657464987663
rf,6,24,3,2023-05-01,16.164480865229226
rf,12,24,1,2019-05-01,8.227535383955443
rf,12,24,2,2021-05-01,25.336724860902667
rf,12,24,3,2023-05-01,13.514964092806203
rf,24,24,1,2019-05-01,9.18051188807843
rf,24,24,2,2021-05-01,23.832642366919096
rf,24,24,3,2023-05-01,13.489089273144058
rf,6,36,2,2019-05-01,13.25360240161978
rf,6,36,3,2022-05-01,27.774119378318307
rf,12,36,2,2019-05-01,13.693495241241305
rf,12,36,3,2022-05-01,26.79186186588106
rf,24,36,2,2019-05-01,13.48578547239464
rf,24,36,3,2022-05-01,25.428183297686672
