model,lags,horizon_months,fold_index,cutoff,mape
rf,6,12,1,2022-05-01,13.965040083397692
rf,6,12,2,2023-05-01,18.480472355474255
rf,6,12,3,2024-05-01,11.29022814007186
rf,12,12,1,2022-05-01,13.18178733204217
rf,12,12,2,2023-05-01,15.595608836186523
rf,12,12,3,2024-05-01,15.439928450259302
rf,24,12,1,2022-05-01,13.694681780085963
rf,24,12,2,2023-05-01,12.289825176698562
rf,24,12,3,2024-05-01,15.526893731961062
rf,6,24,1,2019-05-01,12.629371488695815
rf,6,24,2,2021-05-01,23.847599784369937
rf,6,24,3,2023-05-01,21.220659630187445
rf,12,24,1,2019-05-01,12.284619738579075
rf,12,24,2,2021-05-01,23.428280109528657
rf,12,24,3,2023-05-01,20.248758715474313
rf,24,24,1,2019-05-01,12.642182567332636
rf,24,24,2,2021-05-01,24.363050346770475
rf,24,24,3,2023-05-01,19.245812624412277
rf,6,36,2,2019-05-01,17.115319659183296
rf,6,36,3,2022-05-01,29.812627833503637
rf,12,36,2,2019-05-01,17.052517430393195
rf,12,36,3,2022-05-01,29.389136251722782
rf,24,36,2,2019-05-01,16.24223742241626
rf,24,36,3,2022-05-01,30.01604932590038
