model,lags,horizon_months,fold_index,cutoff,mape
rf,6,12,1,2022-05-01,7.58757578596844
rf,6,12,2,2023-05-01,32.51369200122059
rf,6,12,3,2024-05-01,7.361797280152009
rf,12,12,1,2022-05-01,7.287987682741708
rf,12,12,2,2023-05-01,32.22608006543439
rf,12,12,3,2024-05-01,8.925100386354657
rf,24,12,1,2022-05-01,8.085120579855232
rf,24,12,2,2023-05-01,30.42194548464475
rf,24,12,3,2024-05-01,7.779583957142301
rf,6,24,1,2019-05-01,8.744542811970305
rf,6,24,2,2021-05-01,24.53278980986921
rf,6,24,3,2023-05-01,26.046057063295684
rf,12,24,1,2019-05-01,7.758334391814757
rf,12,24,2,2021-05-01,25.96939579561603
rf,12,24,3,2023-05-01,24.186656165192513
rf,24,24,1,2019-05-01,8.341878165824362
rf,24,24,2,2021-05-01,26.0889170531095
rf,24,24,3,2023-05-01,21.632145916317516
rf,6,36,2,2019-05-01,13.330282923600286
rf,6,36,3,2022-05-01,27.5387439370556
rf,12,36,2,2019-05-01,13.592280663750136
rf,12,36,3,2022-05-01,28.312621494760975
rf,24,36,2,2019-05-01,14.828235359374709
rf,24,36,3,2022-05-01,31.772524927659706
