model,lags,horizon_months,fold_index,cutoff,mape
rf,6,12,1,2022-05-01,36.92809251701413
rf,6,12,2,2023-05-01,19.241673286335033
rf,6,12,3,2024-05-01,16.293869922845897
rf,12,12,1,2022-05-01,44.776093810211016
rf,12,12,2,2023-05-01,16.80335065576981
rf,12,12,3,2024-05-01,19.09815849440998
rf,24,12,1,2022-05-01,46.25842288699087
rf,24,12,2,2023-05-01,10.18271064055
rf,24,12,3,2024-05-01,17.922530059171493
rf,6,24,1,2019-05-01,27.61814041025948
rf,6,24,2,2021-05-01,30.61102832713894
rf,6,24,3,2023-05-01,16.837280741854407
rf,12,24,1,2019-05-01,30.120920158709534
rf,12,24,2,2021-05-01,31.17989461691012
rf,12,24,3,2023-05-01,23.53273959172304
rf,24,24,1,2019-05-01,31.388910812444433
rf,24,24,2,2021-05-01,36.01832515617181
rf,24,24,3,2023-05-01,23.677034142696588
rf,6,36,2,2019-05-01,40.10795772665404
rf,6,36,3,2022-05-01,20.223048440851844
rf,12,36,2,2019-05-01,41.15805753523728
rf,12,36,3,2022-05-01,19.373357746128303
rf,24,36,2,2019-05-01,42.13667811609484
rf,24,36,3,2022-05-01,20.663097565931427
