model,lags,horizon_months,fold_index,cutoff,mape
rf,6,12,1,2022-05-01,13.604665572220789
rf,6,12,2,2023-05-01,10.211544029243353
rf,6,12,3,2024-05-01,9.511658945206024
rf,12,12,1,2022-05-01,17.757251233684645
rf,12,12,2,2023-05-01,9.420541905885022
rf,12,12,3,2024-05-01,8.805064283876437
rf,24,12,1,2022-05-01,19.882011638033976
rf,24,12,2,2023-05-01,9.754620453996203
rf,24,12,3,2024-05-01,10.522151235723614
rf,6,24,1,2019-05-01,29.030513038836993
rf,6,24,2,2021-05-01,22.167862513254814
rf,6,24,3,2023-05-01,10.863108591330832
rf,12,24,1,2019-05-01,29.07231482545514
rf,12,24,2,2021-05-01,23.693997265994714
rf,12,24,3,2023-05-01,12.85716669948661
rf,24,24,1,2019-05-01,27.643159462454985
rf,24,24,2,2021-05-01,24.769511905315852
rf,24,24,3,2023-05-01,12.773906755991273
rf,6,36,2,2019-05-01,29.106867726396008
rf,6,36,3,2022-05-01,15.806972220023841
rf,12,36,2,2019-05-01,29.047852606245666
rf,12,36,3,2022-05-01,16.0784377388163
rf,24,36,2,2019-05-01,28.192595625435402
rf,24,36,3,2022-05-01,16.619322118599296
