model,lags,horizon_months,fold_index,cutoff,mape
rf,6,12,1,2022-05-01,23.417551132342847
rf,6,12,2,2023-05-01,21.641735251111736
rf,6,12,3,2024-05-01,6.226267053159492
rf,12,12,1,2022-05-01,22.527098649655038
rf,12,12,2,2023-05-01,23.034132822953183
rf,12,12,3,2024-05-01,12.875924217122018
rf,24,12,1,2022-05-01,25.8189438673415
rf,24,12,2,2023-05-01,22.750836324622057
rf,24,12,3,2024-05-01,12.5573006592449
rf,6,24,1,2019-05-01,25.883381708928425
rf,6,24,2,2021-05-01,29.866545445707537
rf,6,24,3,2023-05-01,20.487701293186923
rf,12,24,1,2019-05-01,39.237225397135326
rf,12,24,2,2021-05-01,29.731002642768793
rf,12,24,3,2023-05-01,22.9593354309869
rf,24,24,1,2019-05-01,36.69998793605519
rf,24,24,2,2021-05-01,37.07342500086866
rf,24,24,3,2023-05-01,19.255965936492476
rf,6,36,2,2019-05-01,44.87764438807893
rf,6,36,3,2022-05-01,33.87036709964879
rf,12,36,2,2019-05-01,46.06252691569599
rf,12,36,3,2022-05-01,35.44692721955838
rf,24,36,2,2019-05-01,43.61921565758514
rf,24,36,3,2022-05-01,46.07033614407629
