model,lags,horizon_months,fold_index,cutoff,mape
rf,6,12,1,2022-05-01,9.154075428221038
rf,6,12,2,2023-05-01,16.293294973379805
rf,6,12,3,2024-05-01,9.019625479152776
rf,12,12,1,2022-05-01,5.782408108944758
rf,12,12,2,2023-05-01,18.21206477960036
rf,12,12,3,2024-05-01,9.138683976521566
rf,24,12,1,2022-05-01,10.035016887830563
rf,24,12,2,2023-05-01,12.117890282836054
rf,24,12,3,2024-05-01,7.0637771829895
rf,6,24,1,2019-05-01,6.157248838308508
rf,6,24,2,2021-05-01,11.693773633713835
rf,6,24,3,2023-05-01,15.069900519536755
rf,12,24,1,2019-05-01,6.826264805437378
rf,12,24,2,2021-05-01,11.419586982406416
rf,12,24,3,2023-05-01,13.510995829290195
rf,24,24,1,2019-05-01,6.880050528216583
rf,24,24,2,2021-05-01,9.962323440631383
rf,24,24,3,2023-05-01,5.868659897404326
rf,6,36,2,2019-05-01,9.172945655839014
rf,6,36,3,2022-05-01,10.530215634606058
rf,12,36,2,2019-05-01,9.38575973202081
rf,12,36,3,2022-05-01,9.665457995999805
rf,24,36,2,2019-05-01,9.44109010723665
rf,24,36,3,2022-05-01,12.140089338994661
