model,lags,horizon_months,fold_index,cutoff,mape
rf,6,12,1,2022-05-01,10.737814683600067
rf,6,12,2,2023-05-01,31.30192830064353
rf,6,12,3,2024-05-01,17.106793982348023
rf,12,12,1,2022-05-01,12.836717618735888
rf,12,12,2,2023-05-01,31.270191286898598
rf,12,12,3,2024-05-01,27.657963975998364
rf,24,12,1,2022-05-01,12.246816020531865
rf,24,12,2,2023-05-01,26.538804677038325
rf,24,12,3,2024-05-01,10.143832661009622
rf,6,24,1,2019-05-01,27.6940511011114
rf,6,24,2,2021-05-01,28.13067658471708
rf,6,24,3,2023-05-01,35.509277197657106
rf,12,24,1,2019-05-01,27.57833405623546
rf,12,24,2,2021-05-01,27.87107216617301
rf,12,24,3,2023-05-01,27.73688361558935
rf,24,24,1,2019-05-01,27.522805299371058
rf,24,24,2,2021-05-01,30.273809588223656
rf,24,24,3,2023-05-01,26.452872093971337
rf,6,36,2,2019-05-01,30.12933454140439
rf,6,36,3,2022-05-01,24.18034769697097
rf,12,36,2,2019-05-01,31.404809650800587
rf,12,36,3,2022-05-01,26.825061310447936
rf,24,36,2,2019-05-01,31.509401954219552
rf,24,36,3,2022-05-01,20.51303266192259
