model,lags,horizon_months,fold_index,cutoff,mape
rf,6,12,1,2022-05-01,8.55217080954112
rf,6,12,2,2023-05-01,13.704428886448797
rf,6,12,3,2024-05-01,8.29384893309187
rf,12,12,1,2022-05-01,7.26658649950432
rf,12,12,2,2023-05-01,16.160066469974094
rf,12,12,3,2024-05-01,21.330135208075777
rf,24,12,1,2022-05-01,8.746555943635617
rf,24,12,2,2023-05-01,20.675896432160958
rf,24,12,3,2024-05-01,27.097576042670518
rf,6,24,1,2019-05-01,14.25750367066582
rf,6,24,2,2021-05-01,29.585613922282338
rf,6,24,3,2023-05-01,26.411330650654293
rf,12,24,1,2019-05-01,19.641254636857276
rf,12,24,2,2021-05-01,29.478154645097383
rf,12,24,3,2023-05-01,29.55624777467965
rf,24,24,1,2019-05-01,18.89403972269228
rf,24,24,2,2021-05-01,28.271200816967294
rf,24,24,3,2023-05-01,31.120686648819174
rf,6,36,2,2019-05-01,30.21290100791924
rf,6,36,3,2022-05-01,29.668376772565562
rf,12,36,2,2019-05-01,29.430769849312632
rf,12,36,3,2022-05-01,31.303628678565964
rf,24,36,2,2019-05-01,24.85604539960999
rf,24,36,3,2022-05-01,25.669367169570407
