model,lags,horizon_months,fold_index,cutoff,mape
rf,6,12,1,2022-05-01,12.063113556652414
rf,6,12,2,2023-05-01,11.604341256285524
rf,6,12,3,2024-05-01,13.03252123298598
rf,12,12,1,2022-05-01,14.16170965916482
rf,12,12,2,2023-05-01,12.61950303935139
rf,12,12,3,2024-05-01,18.139979095026316
rf,24,12,1,2022-05-01,17.401461845313374
rf,24,12,2,2023-05-01,18.502320618863365
rf,24,12,3,2024-05-01,12.875855515453047
rf,6,24,1,2019-05-01,19.37804349772079
rf,6,24,2,2021-05-01,31.588139153037282
rf,6,24,3,2023-05-01,20.437613424304622
rf,12,24,1,2019-05-01,19.292496296114194
rf,12,24,2,2021-05-01,33.67031969110169
rf,12,24,3,2023-05-01,25.24561567184877
rf,24,24,1,2019-05-01,18.92132776377205
rf,24,24,2,2021-05-01,32.47950758288069
rf,24,24,3,2023-05-01,34.24658950985616
rf,6,36,2,2019-05-01,24.472769589976323
rf,6,36,3,2022-05-01,23.009949383718027
rf,12,36,2,2019-05-01,25.04206716132727
rf,12,36,3,2022-05-01,28.507869542740888
rf,24,36,2,2019-05-01,25.32699328261419
rf,24,36,3,2022-05-01,22.41479806982921
